ZIP_CODE,STATE,ZIP_TYPE,RUCA1,RUCA2
01772,MA,Zip Code Area,1,1.0
01773,MA,Zip Code Area,1,1.0
01775,MA,Zip Code Area,1,1.0
01776,MA,Zip Code Area,1,1.0
01778,MA,Zip Code Area,1,1.0
01784,MA,Post Office or large volume customer,1,1.0
01801,MA,Zip Code Area,1,1.0
01803,MA,Zip Code Area,1,1.0
01805,MA,Post Office or large volume customer,1,1.0
01810,MA,Zip Code Area,1,1.0
01812,MA,Post Office or large volume customer,1,1.0
01813,MA,Post Office or large volume customer,1,1.0
01815,MA,Post Office or large volume customer,1,1.0
01821,MA,Zip Code Area,1,1.0
01822,MA,Post Office or large volume customer,1,1.0
01824,MA,Zip Code Area,1,1.0
01826,MA,Zip Code Area,1,1.0
01827,MA,Zip Code Area,2,2.0
01830,MA,Zip Code Area,1,1.0
01831,MA,Post Office or large volume customer,1,1.0
01832,MA,Zip Code Area,1,1.0
01833,MA,Zip Code Area,1,1.0
01834,MA,Zip Code Area,1,1.0
01835,MA,Zip Code Area,1,1.0
01840,MA,Zip Code Area,1,1.0
01841,MA,Zip Code Area,1,1.0
01842,MA,Post Office or large volume customer,1,1.0
01843,MA,Zip Code Area,1,1.0
01844,MA,Zip Code Area,1,1.0
01845,MA,Zip Code Area,1,1.0
01850,MA,Zip Code Area,1,1.0
01851,MA,Zip Code Area,1,1.0
01852,MA,Zip Code Area,1,1.0
01853,MA,Post Office or large volume customer,1,1.0
01854,MA,Zip Code Area,1,1.0
01860,MA,Zip Code Area,1,1.0
01862,MA,Zip Code Area,1,1.0
01863,MA,Zip Code Area,1,1.0
01864,MA,Zip Code Area,1,1.0
01865,MA,Post Office or large volume customer,1,1.0
01866,MA,Post Office or large volume customer,1,1.0
01867,MA,Zip Code Area,1,1.0
01876,MA,Zip Code Area,1,1.0
01879,MA,Zip Code Area,1,1.0
01880,MA,Zip Code Area,1,1.0
01885,MA,Post Office or large volume customer,1,1.0
01886,MA,Zip Code Area,1,1.0
