"zcta","county","CountyName","ZIPName","pop20","afact"
"ZIP census tabulation area","County code","County name","ZIP Code name","Total population (2020 Census)","zcta-to-county allocation factor"
"01922","25009","Essex MA","Byfield, MA",3134,1 
"01923","25009","Essex MA","Danvers, MA",27987,1 
"01929","25009","Essex MA","Essex, MA",3618,1 
"01930","25009","Essex MA","Gloucester, MA",29729,1 
"01937","25009","Essex MA","Hathorne, MA (PO boxes)",100,1 
"01938","25009","Essex MA","Ipswich, MA",13785,1 
"01940","25009","Essex MA","Lynnfield, MA",13326,1 
"01944","25009","Essex MA","Manchester, MA",5395,1 
"01945","25009","Essex MA","Marblehead, MA",20462,1 
"01949","25009","Essex MA","Middleton, MA",9779,1 
"01950","25009","Essex MA","Newburyport, MA",18289,1 
"01951","25009","Essex MA","Newbury, MA",3582,1 
"01952","25009","Essex MA","Salisbury, MA",9236,1 
"01960","25009","Essex MA","Peabody, MA",54155,1 
"01965","25009","Essex MA","Prides Crossing, MA (PO boxes)",329,1 
"01966","25009","Essex MA","Rockport, MA",6992,1 
"01969","25009","Essex MA","Rowley, MA",6161,1 
"01970","25009","Essex MA","Salem, MA",44451,1 
"01982","25009","Essex MA","South Hamilton, MA",7618,1 
"01983","25009","Essex MA","Topsfield, MA",6569,1 
"01984","25009","Essex MA","Wenham, MA",4979,1 
"01985","25009","Essex MA","West Newbury, MA",4500,1 
"02019","25021","Norfolk MA","Bellingham, MA",16945,1 
"02021","25021","Norfolk MA","Canton, MA",24370,1 
"02025","25021","Norfolk MA","Cohasset, MA",8381,1 
"02026","25021","Norfolk MA","Dedham, MA",25364,1 
"02030","25021","Norfolk MA","Dover, MA",5923,1 
"02032","25021","Norfolk MA","East Walpole, MA",4853,1 
"02035","25021","Norfolk MA","Foxboro, MA",18618,1 
"02038","25021","Norfolk MA","Franklin, MA",33261,1 
"02043","25023","Plymouth MA","Hingham, MA",24272,1 
"02045","25023","Plymouth MA","Hull, MA",10072,1 
"02047","25023","Plymouth MA","Humarock, MA (PO boxes)",371,1 
"02048","25005","Bristol MA","Mansfield, MA",23860,1 
"02050","25023","Plymouth MA","Marshfield, MA",25956,1 
"02052","25021","Norfolk MA","Medfield, MA",12799,1 
"02053","25021","Norfolk MA","Medway, MA",13115,1 
"02054","25021","Norfolk MA","Millis, MA",8460,1 
"02056","25021","Norfolk MA","Norfolk, MA",11662,1 
"02061","25023","Plymouth MA","Norwell, MA",11351,1 
"02062","25021","Norfolk MA","Norwood, MA",31611,1 
"02066","25023","Plymouth MA","Scituate, MA",18561,1 
"02067","25021","Norfolk MA","Sharon, MA",18553,1 
"02071","25021","Norfolk MA","South Walpole, MA",968,1 
"02072","25021","Norfolk MA","Stoughton, MA",29281,1 
"02081","25021","Norfolk MA","Walpole, MA",20584,1 
"02090","25021","Norfolk MA","Westwood, MA",16266,1 
"02093","25021","Norfolk MA","Wrentham, MA",12178,1 
"02108","25025","Suffolk MA","Boston, MA",4228,1 
"02109","25025","Suffolk MA","Boston, MA",3921,1 
"02110","25025","Suffolk MA","Boston, MA",2921,1 
"02111","25025","Suffolk MA","Boston, MA",9716,1 
"02113","25025","Suffolk MA","Boston, MA",7126,1 
"02114","25025","Suffolk MA","Boston, MA",14469,1 
"02115","25025","Suffolk MA","Boston, MA",31604,1 
"02116","25025","Suffolk MA","Boston, MA",23408,1 
"02118","25025","Suffolk MA","Boston, MA",29073,1 
"02119","25025","Suffolk MA","Roxbury, MA",29175,1 
"02120","25025","Suffolk MA","Roxbury Crossing, MA",17578,1 
"02121","25025","Suffolk MA","Dorchester, MA",28766,1 
"02122","25025","Suffolk MA","Dorchester, MA",24385,1 
"02124","25025","Suffolk MA","Dorchester Center, MA",50972,1 
"02125","25025","Suffolk MA","Dorchester, MA",34926,1 
"02126","25025","Suffolk MA","Mattapan, MA",22734,1 
"02127","25025","Suffolk MA","South Boston, MA",37939,1 
"02128","25025","Suffolk MA","East Boston, MA",43066,1 
"02129","25025","Suffolk MA","Charlestown, MA",19120,1 
"02130","25025","Suffolk MA","Jamaica Plain, MA",38284,1 
"02131","25025","Suffolk MA","Roslindale, MA",30544,1 
"02132","25025","Suffolk MA","West Roxbury, MA",27111,1 
"02133","25025","Suffolk MA","Boston, MA",56,1 
"02134","25025","Suffolk MA","Allston, MA",21707,1 
"02135","25025","Suffolk MA","Brighton, MA",47232,1 
"02136","25025","Suffolk MA","Hyde Park, MA",35102,1 
"02138","25017","Middlesex MA","Cambridge, MA",37982,1 
"02139","25017","Middlesex MA","Cambridge, MA",39525,1 
"02140","25017","Middlesex MA","Cambridge, MA",21447,1 
"02141","25017","Middlesex MA","Cambridge, MA",15130,1 
"02142","25017","Middlesex MA","Cambridge, MA",4499,1 
"02143","25017","Middlesex MA","Somerville, MA",26022,1 
"02144","25017","Middlesex MA","Somerville, MA",25497,1 
"02145","25017","Middlesex MA","Somerville, MA",27520,1 
"02148","25017","Middlesex MA","Malden, MA",66274,1 
"02149","25017","Middlesex MA","Everett, MA",49075,1 
"02150","25025","Suffolk MA","Chelsea, MA",40721,1 
"02151","25025","Suffolk MA","Revere, MA",62252,1 
"02152","25025","Suffolk MA","Winthrop, MA",19316,1 
"02155","25017","Middlesex MA","Medford, MA",61483,1 
"02163","25025","Suffolk MA","Boston, MA",1391,1 
